"統計名：","平成28年社会生活基本調査 調査票Ａに基づく結果 生活時間に関する結果 生活時間編（全国）"
"表番号：","1-1"
"表題：","曜日,男女,ふだんの就業状態,スマートフォン・パソコンなどの使用時間,年齢,行動の種類別総平均時間(15歳以上)－全国"
"実施年月：","2016年","10月"

"表章項目","曜日4_071_2016A","男女3_001_2016A","時間軸(年次)","ふだんの就業状態9_007_2016A","スマートフォン・PCなどの使用時間8_085_2016A","年齢20_002_2016A","/行動の種類24_074_2016A","サンプルサイズ","推定人口【千人】","00_総数【分】","01_睡眠【分】","02_身の回りの用事【分】","03_食事【分】","04_通勤・通学【分】","05_仕事【分】","06_学業【分】","07_家事【分】","08_介護・看護【分】","09_育児【分】","10_買い物【分】","11_移動(通勤・通学を除く)【分】","12_テレビ・ラジオ・新聞・雑誌【分】","13_休養・くつろぎ【分】","14_学習・自己啓発・訓練(学業以外)【分】","15_趣味・娯楽【分】","16_スポーツ【分】","17_ボランティア活動・社会参加活動【分】","18_交際・付き合い【分】","19_受診・療養【分】","20_その他【分】","R1_（再掲）１次活動【分】","R2_（再掲）２次活動【分】","R3_（再掲）３次活動【分】"
"総平均時間","1_週全体","0_総数","2016年","0_総数","21_１時間未満","11_65～69歳","","5,987","1,833","1,440","445","87","111","18","138","1","127","6","6","35","41","193","82","14","54","22","9","23","6","23","643","331","466"
"総平均時間","1_週全体","0_総数","2016年","0_総数","21_１時間未満","12_70～74歳","","2,786","897","1,440","463","90","115","9","75","2","125","6","8","33","46","209","84","10","63","31","12","22","11","28","668","257","515"
"総平均時間","1_週全体","0_総数","2016年","0_総数","21_１時間未満","13_75～79歳","","1,470","488","1,440","472","93","119","6","49","3","113","6","2","32","40","231","93","15","62","28","11","24","13","28","684","210","546"
"総平均時間","1_週全体","0_総数","2016年","0_総数","21_１時間未満","14_80～84歳","","592","193","1,440","489","97","127","3","23","0","115","6","1","32","38","236","99","15","58","32","6","21","16","26","713","180","547"
"総平均時間","1_週全体","0_総数","2016年","0_総数","21_１時間未満","15_85歳以上","","216","78","1,440","513","116","129","3","13","1","81","5","1","21","31","210","185","22","44","10","4","13","24","15","758","125","557"
"総平均時間","1_週全体","0_総数","2016年","0_総数","21_１時間未満","R1_(再掲)20歳以上","","60,908","20,204","1,440","438","83","98","37","285","6","106","4","23","28","37","114","80","9","32","12","5","19","6","19","618","489","333"
"総平均時間","1_週全体","0_総数","2016年","0_総数","21_１時間未満","R2_(再掲)35歳以上","","54,785","17,587","1,440","433","84","99","36","278","3","114","5","18","29","37","123","79","8","32","13","6","18","6","20","615","482","342"
"総平均時間","1_週全体","0_総数","2016年","0_総数","21_１時間未満","R3_(再掲)65歳以上","","11,051","3,489","1,440","458","90","114","13","100","1","123","6","5","34","42","205","87","13","57","25","10","22","9","25","662","282","496"
"総平均時間","1_週全体","0_総数","2016年","0_総数","21_１時間未満","R4_(再掲)75歳以上","","2,278","760","1,440","481","97","122","5","38","2","110","6","1","31","39","230","104","15","59","27","9","22","15","26","699","193","548"
"総平均時間","1_週全体","0_総数","2016年","0_総数","22_１～３時間未満","00_総数","","63,966","24,684","1,440","439","79","94","45","279","39","78","3","27","25","32","97","93","14","42","13","4","17","5","15","612","496","333"
